 z(km)    T(K)      p(mb)         NT(cm-3)        CO2VMR         ARVMR         N2VMR         O2VMR          COVMR          O3PVMR         H2VMR 
 133   175.140   0.131722E-05   0.551964E+11   0.912961E+00   0.153246E-01   0.453990E-01   0.146076E-02   0.134516E-02   0.512892E-01   0.180082E-03
 134   176.429   0.119406E-05   0.496698E+11   0.908104E+00   0.152430E-01   0.468895E-01   0.149459E-02   0.138932E-02   0.544897E-01   0.198658E-03
 135   177.701   0.108353E-05   0.447493E+11   0.903064E+00   0.151584E-01   0.484036E-01   0.152852E-02   0.143418E-02   0.578470E-01   0.218923E-03
 136   178.958   0.984231E-06   0.403629E+11   0.897833E+00   0.150706E-01   0.499403E-01   0.156250E-02   0.147971E-02   0.613659E-01   0.241009E-03
 137   180.199   0.894939E-06   0.364483E+11   0.892409E+00   0.149796E-01   0.514987E-01   0.159650E-02   0.152589E-02   0.650510E-01   0.265056E-03
 138   181.426   0.814562E-06   0.329505E+11   0.886788E+00   0.148852E-01   0.530776E-01   0.163050E-02   0.157267E-02   0.689071E-01   0.291210E-03
 139   182.639   0.742139E-06   0.298214E+11   0.880967E+00   0.147875E-01   0.546759E-01   0.166444E-02   0.162003E-02   0.729386E-01   0.319628E-03
 140   183.838   0.676821E-06   0.270194E+11   0.874942E+00   0.146864E-01   0.562923E-01   0.169830E-02   0.166792E-02   0.771499E-01   0.350475E-03
 141   185.024   0.617853E-06   0.245072E+11   0.868710E+00   0.145818E-01   0.579254E-01   0.173202E-02   0.171631E-02   0.815453E-01   0.383924E-03
 142   186.198   0.564571E-06   0.222526E+11   0.862270E+00   0.144737E-01   0.595737E-01   0.176557E-02   0.176515E-02   0.861287E-01   0.420158E-03
 143   187.359   0.516380E-06   0.202270E+11   0.855617E+00   0.143620E-01   0.612357E-01   0.179889E-02   0.181439E-02   0.909039E-01   0.459368E-03
 144   188.509   0.472756E-06   0.184052E+11   0.848751E+00   0.142468E-01   0.629096E-01   0.183195E-02   0.186399E-02   0.958746E-01   0.501757E-03
 145   189.647   0.433230E-06   0.167652E+11   0.841668E+00   0.141279E-01   0.645936E-01   0.186470E-02   0.191389E-02   0.101044E+00   0.547536E-03
 146   190.773   0.397385E-06   0.152873E+11   0.834370E+00   0.140054E-01   0.662860E-01   0.189709E-02   0.196403E-02   0.106415E+00   0.596924E-03
 147   191.889   0.364851E-06   0.139541E+11   0.826854E+00   0.138792E-01   0.679846E-01   0.192906E-02   0.201436E-02   0.111990E+00   0.650152E-03
 148   192.993   0.335296E-06   0.127504E+11   0.819121E+00   0.137494E-01   0.696874E-01   0.196058E-02   0.206481E-02   0.117772E+00   0.707460E-03
 149   194.087   0.308425E-06   0.116625E+11   0.811170E+00   0.136160E-01   0.713922E-01   0.199158E-02   0.211533E-02   0.123762E+00   0.769096E-03
 150   195.170   0.283973E-06   0.106783E+11   0.803003E+00   0.134789E-01   0.730967E-01   0.202202E-02   0.216583E-02   0.129963E+00   0.835321E-03
 151   196.242   0.261704E-06   0.978713E+10   0.794619E+00   0.133381E-01   0.747989E-01   0.205184E-02   0.221626E-02   0.136374E+00   0.906401E-03
 152   197.303   0.241406E-06   0.897947E+10   0.786022E+00   0.131938E-01   0.764959E-01   0.208099E-02   0.226655E-02   0.142997E+00   0.982614E-03
 153   198.354   0.222889E-06   0.824678E+10   0.777212E+00   0.130459E-01   0.781856E-01   0.210941E-02   0.231661E-02   0.149831E+00   0.106425E-02
 154   199.394   0.205983E-06   0.758152E+10   0.768194E+00   0.128946E-01   0.798653E-01   0.213707E-02   0.236638E-02   0.156877E+00   0.115159E-02
 155   200.424   0.190536E-06   0.697692E+10   0.758969E+00   0.127397E-01   0.815324E-01   0.216389E-02   0.241578E-02   0.164133E+00   0.124496E-02
 156   201.442   0.176409E-06   0.642701E+10   0.749544E+00   0.125815E-01   0.831844E-01   0.218984E-02   0.246472E-02   0.171597E+00   0.134465E-02
 157   202.450   0.163481E-06   0.592634E+10   0.739922E+00   0.124200E-01   0.848185E-01   0.221486E-02   0.251314E-02   0.179269E+00   0.145099E-02
 158   203.446   0.151639E-06   0.547014E+10   0.730107E+00   0.122553E-01   0.864321E-01   0.223891E-02   0.256095E-02   0.187145E+00   0.156430E-02
 159   204.431   0.140784E-06   0.505409E+10   0.720105E+00   0.120874E-01   0.880224E-01   0.226192E-02   0.260807E-02   0.195221E+00   0.168492E-02
 160   205.404   0.130825E-06   0.467432E+10   0.709925E+00   0.119165E-01   0.895868E-01   0.228386E-02   0.265443E-02   0.203495E+00   0.181318E-02
 161   206.365   0.121681E-06   0.432737E+10   0.699571E+00   0.117427E-01   0.911227E-01   0.230469E-02   0.269993E-02   0.211962E+00   0.194943E-02
 162   207.313   0.113279E-06   0.401015E+10   0.689052E+00   0.115661E-01   0.926272E-01   0.232434E-02   0.274451E-02   0.220617E+00   0.209402E-02
 163   208.249   0.105553E-06   0.371984E+10   0.678374E+00   0.113869E-01   0.940978E-01   0.234280E-02   0.278808E-02   0.229455E+00   0.224730E-02
 164   209.171   0.984419E-07   0.345395E+10   0.667548E+00   0.112052E-01   0.955318E-01   0.236002E-02   0.283057E-02   0.238469E+00   0.240963E-02
 165   210.080   0.918923E-07   0.321020E+10   0.656582E+00   0.110211E-01   0.969266E-01   0.237595E-02   0.287190E-02   0.247653E+00   0.258138E-02
 166   210.974   0.858550E-07   0.298658E+10   0.645486E+00   0.108348E-01   0.982799E-01   0.239058E-02   0.291200E-02   0.257000E+00   0.276290E-02
 167   211.854   0.802855E-07   0.278123E+10   0.634268E+00   0.106466E-01   0.995890E-01   0.240386E-02   0.295079E-02   0.266502E+00   0.295457E-02
 168   212.718   0.751434E-07   0.259253E+10   0.622940E+00   0.104564E-01   0.100852E+00   0.241578E-02   0.298821E-02   0.276151E+00   0.315675E-02
 169   213.566   0.703923E-07   0.241897E+10   0.611512E+00   0.102646E-01   0.102066E+00   0.242631E-02   0.302418E-02   0.285939E+00   0.336981E-02
 170   214.397   0.659990E-07   0.225920E+10   0.599995E+00   0.100713E-01   0.103230E+00   0.243542E-02   0.305866E-02   0.295857E+00   0.359413E-02
 171   215.210   0.619333E-07   0.211202E+10   0.588400E+00   0.987663E-02   0.104340E+00   0.244309E-02   0.309157E-02   0.305895E+00   0.383007E-02
 172   216.005   0.581677E-07   0.197631E+10   0.576740E+00   0.968090E-02   0.105397E+00   0.244933E-02   0.312287E-02   0.316044E+00   0.407801E-02
 173   216.780   0.546774E-07   0.185108E+10   0.565024E+00   0.948426E-02   0.106397E+00   0.245412E-02   0.315249E-02   0.326293E+00   0.433833E-02
