  z(km)     nvmr          novmr        no2vmr        n2dvmr
 157.00  0.000880000   0.000370000   1.00000e-10   1.00000e-15
 158.00  0.000920000   0.000380000   1.00000e-10   1.00000e-15
 159.00  0.000960000   0.000390000   1.00000e-10   1.00000e-15
 160.00  0.001000000   0.000400000   1.00000e-10   1.00000e-15
 161.00  0.001100000   0.000410000   1.00000e-10   1.00000e-15
 162.00  0.001200000   0.000420000   1.00000e-10   1.00000e-15
 163.00  0.001300000   0.000430000   1.00000e-10   1.00000e-15
 164.00  0.001400000   0.000440000   1.00000e-10   1.00000e-15
 165.00  0.001500000   0.000450000   1.00000e-10   1.00000e-15
 166.00  0.001600000   0.000460000   1.00000e-10   1.00000e-15
 167.00  0.001700000   0.000470000   1.00000e-10   1.00000e-15
 168.00  0.001800000   0.000480000   1.00000e-10   1.00000e-15
 169.00  0.001900000   0.000490000   1.00000e-10   1.00000e-15
 170.00  0.002000000   0.000500000   1.00000e-10   1.00000e-15
 171.00  0.002100000   0.000520000   1.00000e-10   1.00000e-15
 172.00  0.002200000   0.000540000   1.00000e-10   1.00000e-15
 173.00  0.002300000   0.000560000   1.00000e-10   1.00000e-15
 174.00  0.002400000   0.000580000   1.00000e-10   1.00000e-15
 175.00  0.002500000   0.000600000   1.00000e-10   1.00000e-15
 176.00  0.002600000   0.000620000   1.00000e-10   1.00000e-15
 177.00  0.002700000   0.000640000   1.00000e-10   1.00000e-15
 178.00  0.002800000   0.000660000   1.00000e-10   1.00000e-15
 179.00  0.002900000   0.000680000   1.00000e-10   1.00000e-15
 180.00  0.003000000   0.000700000   1.00000e-10   1.00000e-15
 181.00  0.003100000   0.000720000   1.00000e-10   1.00000e-15
 182.00  0.003200000   0.000740000   1.00000e-10   1.00000e-15
 183.00  0.003300000   0.000760000   1.00000e-10   1.00000e-15
 184.00  0.003400000   0.000780000   1.00000e-10   1.00000e-15
 185.00  0.003500000   0.000800000   1.00000e-10   1.00000e-15
 186.00  0.003600000   0.000820000   1.00000e-10   1.00000e-15
 187.00  0.003700000   0.000840000   1.00000e-10   1.00000e-15
 188.00  0.003800000   0.000860000   1.00000e-10   1.00000e-15
 189.00  0.003900000   0.000880000   1.00000e-10   1.00000e-15
 190.00  0.004000000   0.000900000   1.00000e-10   1.00000e-15
 191.00  0.004100000   0.000910000   1.00000e-10   1.00000e-15
 192.00  0.004200000   0.000920000   1.00000e-10   1.00000e-15
 193.00  0.004300000   0.000930000   1.00000e-10   1.00000e-15
 194.00  0.004400000   0.000940000   1.00000e-10   1.00000e-15
 195.00  0.004500000   0.000950000   1.00000e-10   1.00000e-15
 196.00  0.004600000   0.000960000   1.00000e-10   1.00000e-15
 197.00  0.004700000   0.000970000   1.00000e-10   1.00000e-15
 198.00  0.004800000   0.000980000   1.00000e-10   1.00000e-15
 199.00  0.004900000   0.000990000   1.00000e-10   1.00000e-15
 200.00  0.005000000    0.00100000   1.00000e-10   1.00000e-15
 201.00  0.005400000    0.00100000   1.00000e-10   1.00000e-15
 202.00  0.005800000    0.00100000   1.00000e-10   1.00000e-15
 203.00  0.006200000    0.00100000   1.00000e-10   1.00000e-15
 204.00  0.006600000    0.00100000   1.00000e-10   1.00000e-15
 205.00  0.007000000    0.00100000   1.00000e-10   1.00000e-15
 206.00  0.007400000    0.00100000   1.00000e-10   1.00000e-15
 207.00  0.007800000    0.00100000   1.00000e-10   1.00000e-15
 208.00  0.008200000    0.00100000   1.00000e-10   1.00000e-15
 209.00  0.008600000    0.00100000   1.00000e-10   1.00000e-15
 210.00  0.009000000    0.00100000   1.00000e-10   1.00000e-15
 211.00  0.009100000    0.00100000   1.00000e-10   1.00000e-15
 212.00  0.009200000    0.00100000   1.00000e-10   1.00000e-15
 213.00  0.009300000    0.00100000   1.00000e-10   1.00000e-15
 214.00  0.009400000    0.00100000   1.00000e-10   1.00000e-15
 215.00  0.009500000    0.00100000   1.00000e-10   1.00000e-15
 216.00  0.009600000    0.00100000   1.00000e-10   1.00000e-15
 217.00  0.009700000    0.00100000   1.00000e-10   1.00000e-15
 218.00  0.009800000    0.00100000   1.00000e-10   1.00000e-15
 219.00  0.009900000    0.00100000   1.00000e-10   1.00000e-15
 220.00  0.010000000    0.00100000   1.00000e-10   1.00000e-15
 221.00  0.010300000    0.00100000   1.00000e-10   1.00000e-15
 222.00  0.010600000    0.00100000   1.00000e-10   1.00000e-15
 223.00  0.010900000    0.00100000   1.00000e-10   1.00000e-15
 224.00  0.011200000    0.00100000   1.00000e-10   1.00000e-15
 225.00  0.011500000    0.00100000   1.00000e-10   1.00000e-15
 226.00  0.011800000    0.00100000   1.00000e-10   1.00000e-15
 227.00  0.012100000    0.00100000   1.00000e-10   1.00000e-15
 228.00  0.012400000    0.00100000   1.00000e-10   1.00000e-15
 229.00  0.012700000    0.00100000   1.00000e-10   1.00000e-15
 230.00  0.013000000    0.00100000   1.00000e-10   1.00000e-15
 231.00  0.013300000    0.00100000   1.00000e-10   1.00000e-15
 232.00  0.013600000    0.00100000   1.00000e-10   1.00000e-15
 233.00  0.013900000    0.00100000   1.00000e-10   1.00000e-15
 234.00  0.014200000    0.00100000   1.00000e-10   1.00000e-15
 235.00  0.014500000    0.00100000   1.00000e-10   1.00000e-15
 236.00  0.014800000    0.00100000   1.00000e-10   1.00000e-15
 237.00  0.015100000    0.00100000   1.00000e-10   1.00000e-15
 238.00  0.015400000    0.00100000   1.00000e-10   1.00000e-15
 239.00  0.015700000    0.00100000   1.00000e-10   1.00000e-15
 240.00  0.016000000    0.00100000   1.00000e-10   1.00000e-15
 241.00  0.016000000    0.00100000   1.00000e-10   1.00000e-15
 242.00  0.016000000    0.00100000   1.00000e-10   1.00000e-15
 243.00  0.016000000    0.00100000   1.00000e-10   1.00000e-15
 244.00  0.016000000    0.00100000   1.00000e-10   1.00000e-15
 245.00  0.016000000    0.00100000   1.00000e-10   1.00000e-15
 246.00  0.016000000    0.00100000   1.00000e-10   1.00000e-15
 247.00  0.016000000    0.00100000   1.00000e-10   1.00000e-15
 248.00  0.016000000    0.00100000   1.00000e-10   1.00000e-15
 249.00  0.016000000    0.00100000   1.00000e-10   1.00000e-15
 250.00  0.016000000    0.00100000   1.00000e-10   1.00000e-15
 300.00  0.016000000    0.00100000   1.00000e-10   1.00000e-15
