Wavelength	OC32S		O13CS		OC33S		OC34S	
nm	cm2	1s	cm2	1s	cm2	1s	cm2	1s
258.04	3.89050E-21	5.55993E-22	3.83162E-21	6.64895E-22	4.02042E-21	3.37226E-22	3.74641E-21	3.82656E-22
258.02	3.86380E-21	5.98621E-22	3.79348E-21	7.29211E-22	3.92469E-21	4.53745E-22	3.85423E-21	3.37905E-22
258	3.87518E-21	3.52518E-22	3.84559E-21	5.10332E-22	3.91010E-21	5.41478E-22	3.73286E-21	2.74515E-22
257.98	3.74315E-21	4.47530E-22	3.82241E-21	5.78799E-22	3.93525E-21	4.44036E-22	3.79586E-21	3.42296E-22
257.96	3.92797E-21	4.30684E-22	3.92103E-21	5.67453E-22	3.93441E-21	4.37997E-22	3.89435E-21	2.01889E-22
257.94	4.10053E-21	3.06527E-22	3.80647E-21	5.48702E-22	3.92603E-21	5.39301E-22	3.87970E-21	2.34097E-22
257.92	4.06827E-21	4.98415E-22	3.90039E-21	5.82454E-22	3.80390E-21	6.01754E-22	3.85864E-21	2.57459E-22
257.9	4.02454E-21	4.58707E-22	3.98459E-21	6.54769E-22	3.89543E-21	4.60917E-22	3.81921E-21	2.77710E-22
257.88	4.03077E-21	4.55440E-22	3.92349E-21	5.87658E-22	3.95119E-21	3.35411E-22	3.93854E-21	2.86862E-22
257.86	4.09812E-21	5.14440E-22	3.80070E-21	6.12699E-22	4.09695E-21	4.37570E-22	3.77457E-21	1.74146E-22
257.84	3.96944E-21	5.04608E-22	3.88947E-21	6.58741E-22	4.07323E-21	3.43149E-22	3.95411E-21	3.02034E-22
257.82	3.79450E-21	5.73853E-22	3.91935E-21	6.28595E-22	3.92283E-21	3.47655E-22	3.97681E-21	3.63134E-22
257.8	3.93022E-21	6.15929E-22	4.05834E-21	5.59427E-22	3.98377E-21	3.44770E-22	4.09076E-21	3.90845E-22
257.78	4.11654E-21	6.62480E-22	4.04275E-21	8.99664E-22	4.03477E-21	2.76602E-22	4.17518E-21	3.25239E-22
257.76	4.12004E-21	5.23961E-22	4.18450E-21	6.62019E-22	4.14834E-21	3.67238E-22	4.15970E-21	1.40826E-22
257.74	4.26043E-21	5.51651E-22	4.11643E-21	5.20144E-22	4.11549E-21	4.32337E-22	4.20204E-21	2.79240E-22
257.72	4.12729E-21	5.89794E-22	4.12139E-21	4.96483E-22	4.10469E-21	5.45083E-22	4.18128E-21	3.37722E-22
257.7	4.25828E-21	3.64644E-22	3.94539E-21	6.29696E-22	3.97469E-21	3.83875E-22	4.08853E-21	1.70280E-22
257.68	4.39949E-21	4.80712E-22	3.73643E-21	5.49881E-22	3.92055E-21	3.48964E-22	4.00887E-21	3.31659E-22
257.66	4.25838E-21	5.96573E-22	4.02168E-21	5.86929E-22	4.08878E-21	4.67703E-22	4.06152E-21	4.34383E-22
257.64	4.12453E-21	4.87961E-22	4.09022E-21	5.85324E-22	4.17285E-21	4.92053E-22	4.13906E-21	3.88998E-22
257.62	4.20209E-21	3.08248E-22	3.96901E-21	5.79894E-22	4.10671E-21	3.62463E-22	4.33626E-21	2.06626E-22
257.6	4.36164E-21	1.75668E-22	4.10177E-21	5.90377E-22	4.10211E-21	2.43678E-22	4.34767E-21	2.95870E-22
